PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40085113,Revising US MMR Vaccine Recommendations Amid Changing Domestic Risks.,2025,"John S Brownstein, Rochelle P Walensky, Benjamin Rader","Bayer Fellow in Health & Biotech, American Academy in Berlin, Berlin, Germany., Computational Epidemiology Lab, Boston Children's Hospital, Boston, Massachusetts.",N/A
40084273,Discovery and preclinical development of a SdAb-based CAR-T technology for targeting CD33 in AML.,2025,Lucía Vanrell,"Nanogrow Biotech, Montevideo 11500, Uruguay.",N/A
40084243,Phenylethanoid glycoside-enriched fraction of,2025,Sagar Ramrao Barge,"Department of Medicine, Beth Israel Deaconess Medical Center and Harvard Medical School, Boston, MA 02215 USA.",N/A
40083857,Magnetizing Biotech-Advances in (In Vivo) Magnetic Enzyme Immobilization.,2025,"Gizem Ölçücü, Ulrich Krauss, Karl-Erich Jaeger",Institute of Bio- and Geosciences IBG-1: Biotechnology Forschungszentrum Jülich GmbH Jülich Germany.,N/A
40083835,The inflammatory endotype in osteoarthritis: Reflections from the 2024 OARSI clinical trials symposium (CTS) with a special emphasis on feasibility for clinical development.,2025,"Francis Berenbaum, Lucio C Rovati, Ali Mobasheri, Jeyanesh Tambiah","Department of Joint Surgery, First Affiliated Hospital of Sun Yat-Sen University, Guangzhou, China., Department of Rheumatology, Sorbonne University, INSERM, AP-HP, Saint-Antoine Hospital, Paris, France., Rottapharm Biotech, Monza, Italy., Department of Regenerative Medicine, State Research Institute Centre for Innovative Medicine, Vilnius, Lithuania., Biosplice Therapeutics, 9360 Towne Center Drive, San Diego, CA, 92121,USA.",N/A
40083719,Tumor microenvironment acidosis favors pancreatic cancer stem cell properties and,2025,"Juan Camacho-Roda, Yifan Dai, Albin Sandelin, Jiayi Yao, Jonathan Baldan, Luis Arnes","Biotech Research and Innovation Centre, University of Copenhagen, Copenhagen, Denmark.",N/A
40083409,N/A,2025,López-Juan Chavez,"Peru Biotech Eirl, Lima, Peru.",N/A
40082952,"Prevalence, trends, and geographic distribution of human papillomavirus infection in Chinese women: a summative analysis of 2,728,321 cases.",2025,"Yequn Chen, Yingmu Cai, Longxu Xie, Aijuan Xu, Song Qiu, Mengyue Lin, Jiubiao Guo, Sirui Han, Mengyu Liu, Shiwan Wu","Hybribio Medical Laboratory Group Ltd., Chaozhou, Guangdong, China., Joint Laboratory of Shantou University Medical College and Guangdong Hybribio Biotech Ltd., Shantou University Medical College, Shantou, Guangdong, China., Hybribio Medical Laboratory Group Ltd., Chaozhou, Guangdong, China. yingmucai@hybribio.cn., Department of Cardiology, First Affiliated Hospital of Shantou University Medical College, Shantou, China. gdcycyq@163.com., Department of Cardiology, First Affiliated Hospital of Shantou University Medical College, Shantou, China., Clinical Medical Research Center, First Affiliated Hospital of Shantou University Medical College, Shantou, China., Joint Laboratory of Shantou University Medical College and Guangdong Hybribio Biotech Ltd., Shantou University Medical College, Shantou, Guangdong, China. yingmucai@hybribio.cn., Clinical Medical Research Center, First Affiliated Hospital of Shantou University Medical College, Shantou, China. gdcycyq@163.com.",yingmucai@hybribio.cn
40082757,Integrated analysis of differential expression profile of miRNA in the uterus of seasonal estrus sheep.,2025,"Xiaoyun He, Fan Yang, Yufang Liu, Ran Di, Mingxing Chu, Yongfu La","State Key Laboratory of Animal Biotech Breeding, Institute of Animal Science, Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan West Rd, Beijing, 100193, China. mxchu@263.net., State Key Laboratory of Animal Biotech Breeding, Institute of Animal Science, Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan West Rd, Beijing, 100193, China., State Key Laboratory of Animal Biotech Breeding, Institute of Animal Science, Chinese Academy of Agricultural Sciences (CAAS), No. 2 Yuanmingyuan West Rd, Beijing, 100193, China. aigaiy@126.com.",aigaiy@126.com
40082724,"The role of the immune system in osteoarthritis: mechanisms, challenges and future directions.",2025,"Francis Berenbaum, Marie-Astrid Boutet, Jérémie Sellam","Department of Rheumatology, Saint-Antoine Hospital, Centre de Recherche Saint-Antoine, Inserm, Sorbonne Université UMRS 938, Assistance Publique-Hôpitaux de Paris, Paris, France., Centre for Experimental Medicine and Rheumatology, William Harvey Research Institute, NIHR Barts Biomedical Research Centre, Queen Mary University of London, London, UK. marie-astrid.boutet@univ-nantes.fr.",david.moulin@univ-lorraine.fr
40082675,Lived experience is essential for innovation in biomedical research.,2025,N/A,N/A,ilse.daehn@mssm.edu
40082467,Gut commensals-derived succinate impels colonic inflammation in ulcerative colitis.,2025,"Rahul Yadav, Yashwant Kumar, Sandeep Goswami, Rajdeep Dalal, Amit Awasthi, Vinayakadas K V, Kartikey Chaturvedi, Rahul Kannan, Shakti Kumar, Jyotsna Dandotiya, Virendra Singh, Srikanth Sadhu, Deepak Kumar Rathore","Immunology Core Lab, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, 3rd Milestone, Faridabad-Gurgaon Expressway, Faridabad, 121001, Haryana, India., Centre for Immunobiology and Immunotherapy, Translational Health Science and Technology Institute, NCR-Biotech Science Cluster, 3 rd Milestone, Faridabad-Gurgaon Expressway, Faridabad, 121001, Haryana, India., Immunology Core Lab, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, 3rd Milestone, Faridabad-Gurgaon Expressway, Faridabad, 121001, Haryana, India. aawasthi@thsti.res.in., Non-communicable disease centre, Translational Health Science and Technology Institute, NCR-Biotech Science Cluster, 3rd Milestone, Faridabad-Gurgaon Expressway, Faridabad, 121001, Haryana, India., Department of Molecular Medicine & Biotechnology, Sanjay Gandhi Postgraduate Institute of Medical Sciences (SGPGIMS), Lucknow, Uttar Pradesh, India., Centre for Immunobiology and Immunotherapy, Translational Health Science and Technology Institute, NCR-Biotech Science Cluster, 3 rd Milestone, Faridabad-Gurgaon Expressway, Faridabad, 121001, Haryana, India. aawasthi@thsti.res.in.",aawasthi@thsti.res.in
40082438,Plasma exchange and radiation resensitize immunotherapy-refractory melanoma: a phase I trial.,2025,N/A,N/A,orme.jacob@mayo.edu
40082315,Human Cardiac Microtissues Display Improved Engraftment and Survival in a Porcine Model of Myocardial Infarction.,2025,"Joost P G Sluijter, Joachim Danmayr, C Marlies van Oostveen, Judith de Vos, Melanie Schürz, Maurice C G Aalders, Klaus Neef, Saskia C A de Jager, Aina Cervera-Barea, Johannes G G Dobbe, Joyce Visser, Mayke Bijsterveld, Wiebke Triebert, Amy S Scheren, Robert Zweigerdt, Evelyne Demkes, Marlijn Jansen, Gerard J J Boink","Regenerative Medicine Center Utrecht, University Medical Center Utrecht, Utrecht University, Utrecht, The Netherlands. aina.cervera@gmail.com., Leibniz Research Laboratories for Biotechnology and Artificial Organs, Hannover Medical School, Hannover, Germany., Department of Biomedical Engineering and Physics, Amsterdam University Medical Centers, University of Amsterdam, Amsterdam, The Netherlands., Department of Biosciences and Medical Biology, Paris Lodron University of Salzburg, Salzburg, Austria., Experimental Cardiology Laboratory, Department of Cardiology, University Medical Center Utrecht, Utrecht University, Utrecht, The Netherlands., Department of Cardiology, Division of Heart and Lungs, University Medical Center Utrecht, Utrecht University, Utrecht, The Netherlands. aina.cervera@gmail.com., Department of Cardiology, Division of Heart and Lungs, University Medical Center Utrecht, Utrecht University, Utrecht, The Netherlands., Experimental Cardiology Laboratory, Department of Cardiology, University Medical Center Utrecht, Utrecht University, Utrecht, The Netherlands. aina.cervera@gmail.com., Regenerative Medicine Center Utrecht, University Medical Center Utrecht, Utrecht University, Utrecht, The Netherlands., Department of Medical Biology, Amsterdam Cardiovascular Sciences, Amsterdam University Medical Centers, University of Amsterdam, Amsterdam, The Netherlands., Department of Clinical and Experimental Cardiology, Amsterdam Cardiovascular Sciences, Amsterdam University Medical Centers, University of Amsterdam, Amsterdam, The Netherlands.",aina.cervera@gmail.com
40082306,Functional Analysis of Mature Activin A Produced by Enterokinase in Plant Cells.,2025,"Ki-Beom Moon, Ji-Sun Park, Han-Gyeul Kim, Kyung-Sook Chung, Jae-Heung Jeon, Tae-Ho Kwon, Hyo-Jun Lee, Hyun-Soon Kim","Center for Gene & Cell Therapy, Korea Research Institute of Bioscience and Biotechnology, 125 Gwahak-ro, Yuseong-gu, Daejeon, 34141, South Korea., Plant Systems Engineering Research Center, Korea Research Institute of Bioscience and Biotechnology, 125 Gwahak-ro, Yuseong-gu, Daejeon, 34141, South Korea., Genecell Biotech Inc., 87, Wanjusandan 5-ro, Wanju-Gun, Jeollabuk-do, 55322, South Korea., Plant Systems Engineering Research Center, Korea Research Institute of Bioscience and Biotechnology, 125 Gwahak-ro, Yuseong-gu, Daejeon, 34141, South Korea. hyuns@kribb.re.kr.",hyuns@kribb.re.kr
40082271,Genome editing research initiatives and regulatory landscape of genome edited crops in India.,2025,"N/A Dalamu, Vikas Mangal, Brajesh Singh, Rasna Zinta, Neha Sharma, Som Dutt, Ajay Kumar Thakur, Kanika Thakur, Salej Sood, Vinod Kumar","ICAR-Central Potato Research Institute, Shimla, HP, 171 001, India., ICAR-Central Potato Research Institute, Shimla, HP, 171 001, India. thakurak2010@gmail.com.",thakurak2010@gmail.com
40082107,"Prostate magnetic resonance imaging to predict grade concordance, extra prostatic extension, and biochemical recurrence after radical prostatectomy.",2025,"Aya Bsatee, Mallory McCormick, Hiten D Patel, Goran Rac, Michael Felice, Gopal N Gupta, Jeffrey L Ellis","Department of Urology, Loyola University Medical Center, Maywood, IL; Department of Radiology, Loyola University Medical Center, Maywood, IL; Department of Surgery, Loyola University Medical Center, Maywood, IL., Department of Urology, Loyola University Medical Center, Maywood, IL., Department of Urology, Northwestern University, Feinberg School of Medicine, Chicago, IL; Department of Urology, Loyola University Medical Center, Maywood, IL; Surgery Service, Jesse Brown VA Medical Center, Chicago, IL.",mitchell.huang@nm.org
40081941,Myeloid targeting antibodies PY159 and PY314 for platinum-resistant ovarian cancer.,2025,"Abdul Rafeh Naqash, Judy Wang, Oladapo O Yeku, Afshin Dowlati, Debra L Richardson, Sarah K Lynam","University Hospitals Seidman Cancer Center and Case Western Reserve University, Cleveland, Ohio, USA., Medicine/Cancer Center, Massachusetts General Hospital, Boston, Massachusetts, USA., Drug Development Unit, Florida Cancer Specialists/Sarah Cannon Research Institute, Sarasota, Florida, USA., Medical Oncology/TSET Phase 1 Program, Stephenson Cancer Center/Sarah Cannon Research Institute, University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, USA., Sarah Cannon Research Institute, Oklahoma City, Oklahoma, USA.",iwiner@med.wayne.edu
40081614,Metabolic dysfunction-associated steatotic liver disease: A sexually dimorphic disease and breast and gynecological cancer.,2025,"Mindie H Nguyen, Xinrong Zhang","Division of Gastroenterology and Hepatology, School of Medicine, Stanford University Medical Center, Palo Alto, CA, United States., Division of Gastroenterology and Hepatology, School of Medicine, Stanford University Medical Center, Palo Alto, CA, United States; Department of Epidemiology and Population Health, Stanford University Medical Center, Palo Alto, CA, United States; Stanford Cancer Institute, Stanford University Medical Center, Palo Alto, CA, United States. Electronic address: mindiehn@stanford.edu.",mindiehn@stanford.edu
